"Employee_ID","Joining_Year","Age","Business_Travel","Daily_Rate","Distance_From_Home","Education","Environment_Satisfaction","Gender","Hourly_Rate","Job_Involvement","Job_Satisfaction","Marital_Status","Monthly_Income","Monthly_Rate","Num_Companies_Worked","Overtime","Percent_Salary_Hike","Performance_Rating","Relationship_Satisfaction","Stock_Option","Total_Working_Years","Training_Times_Last_Year","Work_Life_Balance","Years_At_Company","Years_In_Role","Years_Since_Promotion","Years_With_Manager","Attrition","Leaving_Year","Reason","Relieving_Status","Office_Code","Job_Level","Dept_Corporate_Functions","Dept_Delivery","Dept_HR","Dept_Marketing","Dept_Product"
100044,2010,50,2,1246,3,0,1,"Male",99,3,2,"Married",18200,7999,1,0,11,3,3,1,32,2,3,12,2,4,3,0,NA,"","","MKM",6,1,0,0,0,0
100045,2010,50,1,783,4,1,3,"Male",82,2,1,"Single",14066,17600,1,1,11,3,1,1,32,2,2,12,3,1,4,0,NA,"","","BOS",6,1,0,0,0,0
100046,2010,49,1,302,14,3,3,"Male",76,2,4,"Married",10317,4295,1,1,11,5,2,1,30,4,2,11,3,4,3,1,2021,"career change","Voluntary","CAL",6,1,0,0,0,0
100047,2010,53,1,270,2,0,1,"Male",51,1,3,"Married",19717,25827,2,1,14,3,4,0,34,2,3,11,5,3,3,1,2021,"reallocation out of the area","Voluntary","NYC",6,1,0,0,0,0
100048,2010,54,1,542,1,2,4,"Male",77,3,1,"Divorced",18993,18903,0,0,14,3,2,0,35,2,3,12,4,2,5,0,NA,"","","CAL",6,1,0,0,0,0
100049,2010,51,1,756,6,0,3,"Male",60,1,2,"Married",15563,24828,7,0,11,4,3,0,31,2,1,10,4,5,4,1,2020,"unhappy","Voluntary","NYC",4,0,0,0,1,0
100050,2010,45,1,1383,2,0,1,"Male",93,1,2,"Single",18541,2866,2,1,16,4,1,0,25,2,2,9,4,1,4,1,2019,"unhappy","Voluntary","CAL",6,1,0,0,0,0
100051,2010,54,1,419,2,1,4,"Male",81,3,1,"Divorced",19167,18977,0,0,15,3,2,0,36,2,2,12,4,2,5,0,NA,"","","CAL",6,1,0,0,0,0
100052,2010,40,1,1095,9,2,1,"Male",56,3,3,"Married",17860,15655,2,1,11,4,4,0,22,0,3,8,5,5,3,1,2018,"career change","Voluntary","BOS",4,0,1,0,0,0
100053,2010,52,1,662,3,1,3,"Female",30,2,1,"Married",16841,10094,1,0,11,3,1,0,33,2,3,12,2,1,6,0,NA,"","","VAN",6,1,0,0,0,0
100054,2010,55,0,177,8,2,4,"Male",37,2,2,"Divorced",13577,25592,1,1,15,3,4,1,34,3,3,12,4,6,1,0,NA,"","","BOS",4,0,0,0,0,0
100055,2010,52,1,699,1,2,3,"Male",65,2,3,"Married",19999,5678,0,0,14,3,1,1,34,5,3,12,7,4,4,0,NA,"","","OTT",5,0,0,0,1,0
100056,2010,51,1,273,18,0,3,"Male",75,3,2,"Married",11613,3080,0,0,12,3,3,0,33,2,2,12,4,5,4,1,2022,"medical issues","Voluntary","CAL",6,1,0,0,0,0
100057,2010,43,1,963,6,3,2,"Male",69,2,1,"Married",11993,2381,4,1,13,5,3,0,23,1,2,8,3,3,4,1,2018,"unhappy","Voluntary","VAN",3,0,0,1,0,0
100058,2010,50,1,786,11,1,2,"Male",92,2,2,"Married",10400,2872,5,1,13,3,4,1,31,1,2,11,3,3,3,1,2021,"offered more money","Voluntary","PHL",6,1,0,0,0,0
100059,2010,51,1,731,1,1,2,"Male",64,2,3,"Married",19973,5690,0,0,14,3,1,1,33,5,3,12,6,4,4,0,NA,"","","BOS",6,1,0,0,0,0
100060,2010,51,1,274,18,1,3,"Male",74,3,2,"Married",11630,3075,0,1,12,2,3,0,33,2,2,12,4,5,4,1,2022,"Misconduct","Involuntary","NYC",6,1,0,0,0,0
100061,2010,51,1,718,1,0,3,"Male",63,2,3,"Married",19935,5732,0,0,14,3,1,1,33,4,3,12,6,4,4,0,NA,"","","OTT",6,1,0,0,0,0
100062,2010,55,1,485,1,2,4,"Male",82,3,1,"Married",19158,18892,0,1,13,3,3,0,35,2,3,12,3,2,4,0,NA,"","","MKM",6,1,0,0,0,0
100063,2010,47,1,1058,6,3,2,"Male",91,2,1,"Married",10438,2620,6,1,13,4,4,1,28,1,2,9,3,3,3,1,2019,"career change","Voluntary","MKM",3,0,0,0,1,0
100064,2010,51,1,689,1,3,3,"Male",64,2,3,"Married",19953,5633,0,0,13,3,1,0,33,4,3,12,6,4,4,0,NA,"","","PHL",5,0,0,1,0,0
100065,2010,52,1,266,2,0,1,"Female",57,1,4,"Married",19845,25846,1,0,15,2,4,1,33,3,3,12,5,3,4,1,2022,"Misconduct","Involuntary","BOS",6,1,0,0,0,0
100066,2010,52,1,607,2,2,2,"Male",77,2,4,"Single",10068,14593,0,0,15,4,2,1,32,3,3,11,3,1,3,1,2021,"reallocation out of the area","Voluntary","CAL",6,1,0,0,0,0
100067,2011,52,1,584,10,0,1,"Male",87,3,2,"Single",15074,7452,4,1,16,4,2,0,24,2,2,8,3,1,3,1,2019,"career change","Voluntary","NYC",4,0,1,0,0,0
100068,2011,54,1,711,22,0,3,"Female",61,2,4,"Married",19575,23206,1,0,19,3,3,1,35,3,2,11,2,1,4,0,NA,"","","PHL",6,1,0,0,0,0
100069,2011,51,2,237,9,1,4,"Male",83,3,2,"Divorced",19847,19196,4,1,24,4,1,1,31,5,2,11,4,4,4,0,NA,"","","NYC",6,1,0,0,0,0
100070,2011,48,1,1009,7,1,2,"Male",91,2,1,"Married",10431,2665,6,1,13,3,4,1,28,1,2,9,3,3,3,1,2020,"unhappy","Voluntary","MKM",6,1,0,0,0,0
100071,2011,51,1,522,13,2,3,"Male",61,2,2,"Married",10461,15459,1,0,14,4,2,1,28,3,3,8,2,1,2,1,2019,"retiring","Voluntary","CAL",3,0,0,0,0,0
100072,2011,50,1,1209,19,0,2,"Male",42,2,3,"Single",11234,20682,2,1,15,3,3,1,31,2,3,11,3,4,5,0,NA,"","","TOR",6,1,0,0,0,0
100073,2011,44,1,353,2,3,1,"Female",81,2,4,"Married",11421,13947,4,0,12,5,3,2,25,4,3,9,3,3,3,1,2020,"maternity leave - did not return","Voluntary","TOR",6,1,0,0,0,0
100074,2011,49,1,336,15,2,3,"Male",84,2,3,"Married",10121,4057,1,1,11,3,4,1,30,3,2,11,4,5,3,1,2022,"long hours","Voluntary","VAN",6,1,0,0,0,0
100075,2011,51,1,427,3,2,1,"Male",56,1,4,"Married",18160,25718,1,1,15,5,4,0,30,2,3,10,4,2,3,1,2021,"career change","Voluntary","CAL",4,0,1,0,0,0
100076,2011,49,1,906,2,2,1,"Male",97,3,1,"Married",17904,4606,1,0,11,3,3,1,30,3,3,11,2,5,3,0,NA,"","","NYC",4,0,0,0,1,0
100077,2011,57,1,788,8,1,3,"Female",41,3,3,"Single",13807,24327,1,0,12,3,2,0,33,1,1,11,3,1,3,0,NA,"","","BOS",6,1,0,0,0,0
100078,2011,39,2,203,2,1,1,"Male",84,3,4,"Divorced",12169,13547,7,0,11,4,4,3,21,4,3,7,3,4,2,1,2018,"retiring","Voluntary","VAN",4,0,1,0,0,0
100079,2011,52,1,677,4,0,2,"Female",36,2,1,"Married",16853,10060,1,0,12,3,1,0,34,2,3,11,3,1,5,0,NA,"","","OTT",6,1,0,0,0,0
100080,2011,43,1,904,7,3,2,"Male",65,2,1,"Single",15976,2467,0,1,13,4,1,0,23,2,2,8,4,3,5,1,2019,"retiring","Voluntary","PHL",4,0,0,0,0,0
100081,2011,57,1,317,2,0,4,"Male",34,3,1,"Married",19290,25429,6,0,12,1,4,0,38,2,3,11,5,5,3,1,2022,"Misconduct","Involuntary","PHL",6,1,0,0,0,0
100082,2011,51,1,540,10,1,3,"Male",64,2,2,"Married",10399,15280,1,0,14,3,2,1,29,3,3,8,2,1,2,1,2019,"offered more money","Voluntary","PHL",3,0,0,0,0,1
100083,2011,52,1,727,3,2,3,"Female",30,2,1,"Married",16819,10111,1,0,11,3,1,0,33,2,3,11,2,1,5,0,NA,"","","VAN",6,1,0,0,0,0
100084,2011,52,1,268,2,3,1,"Male",53,1,3,"Married",19769,25835,1,1,14,1,4,0,33,2,3,11,5,3,3,1,2022,"Misconduct","Involuntary","PHL",6,1,0,0,0,0
100085,2011,50,1,611,5,1,2,"Male",76,2,4,"Married",9525,14458,0,0,14,5,2,1,26,3,3,10,3,1,3,1,2021,"career change","Voluntary","MKM",6,1,0,0,0,0
100086,2011,60,1,422,7,2,1,"Female",41,3,1,"Married",19566,3854,5,0,11,3,4,0,33,5,1,11,3,4,4,0,NA,"","","CAL",6,1,0,0,0,0
100087,2011,49,1,394,1,0,4,"Male",71,2,1,"Divorced",19105,19199,0,0,13,3,2,0,30,2,3,11,3,2,4,0,NA,"","","PHL",6,1,0,0,0,0
100088,2011,49,1,1238,3,3,1,"Male",98,3,2,"Married",18200,8036,1,0,11,3,3,1,31,2,3,11,2,4,3,0,NA,"","","NYC",6,1,0,0,0,0
100089,2011,48,1,782,3,1,1,"Female",98,3,1,"Married",17813,4648,1,0,11,3,4,0,29,3,3,11,3,5,3,0,NA,"","","OTT",6,1,0,0,0,0
100090,2011,48,1,893,1,2,2,"Male",60,2,3,"Married",19845,5751,0,0,15,3,1,1,30,5,3,11,6,3,4,0,NA,"","","OTT",6,1,0,0,0,0
100091,2011,49,1,849,2,0,1,"Female",98,3,1,"Married",17888,4577,1,0,11,3,4,0,30,3,3,11,3,5,3,0,NA,"","","OTT",6,1,0,0,0,0
100092,2011,49,1,1245,18,3,4,"Male",58,2,3,"Divorced",19502,2125,1,1,17,3,3,1,31,5,3,11,4,1,4,0,NA,"","","VAN",6,1,0,0,0,0
100093,2011,51,2,826,6,1,3,"Female",82,3,2,"Married",13967,17648,1,0,11,3,1,1,33,1,3,11,4,1,4,0,NA,"","","MKM",6,1,0,0,0,0
100094,2011,43,1,447,11,3,2,"Male",78,2,2,"Married",10008,4406,1,1,11,2,4,1,24,3,2,9,3,4,3,1,2020,"Misconduct","Involuntary","MKM",6,1,0,0,0,0
100095,2011,50,1,543,3,2,3,"Female",34,2,1,"Married",16806,10340,2,0,11,3,1,0,31,2,4,11,3,1,5,0,NA,"","","MKM",6,1,0,0,0,0
100096,2011,50,0,881,2,1,1,"Male",98,3,1,"Divorced",17924,4544,1,0,11,3,4,1,31,3,3,11,3,5,3,0,NA,"","","OTT",6,1,0,0,0,0
100097,2011,49,1,877,2,1,1,"Male",97,3,1,"Married",17913,4552,1,0,11,3,3,1,30,3,3,11,2,5,3,0,NA,"","","MKM",6,1,0,0,0,0
100098,2011,52,1,302,6,0,4,"Male",82,3,1,"Divorced",19601,19116,2,0,20,3,1,0,32,4,2,11,4,3,4,0,NA,"","","VAN",6,1,0,0,0,0
100099,2011,57,1,427,2,1,4,"Male",46,3,1,"Married",19443,24293,6,0,12,3,4,0,34,2,3,8,4,4,3,1,2019,"medical issues","Voluntary","MKM",5,0,0,0,1,0
100100,2011,52,1,301,6,0,4,"Male",82,3,1,"Divorced",19606,19118,2,0,21,3,1,0,32,4,2,11,4,3,4,0,NA,"","","NYC",5,0,0,0,1,0
100101,2011,47,1,362,15,2,3,"Male",61,3,2,"Married",12535,2808,0,0,12,5,2,0,28,2,2,10,4,5,4,1,2021,"reallocation out of the area","Voluntary","TOR",6,1,0,0,0,0
100102,2011,50,1,943,20,1,2,"Female",69,2,2,"Married",16984,9564,0,0,13,3,1,0,29,2,3,11,3,4,4,0,NA,"","","VAN",6,1,0,0,0,0
100103,2011,49,1,855,2,2,1,"Male",98,3,1,"Married",17895,4571,1,0,11,3,4,0,30,3,3,11,3,5,3,0,NA,"","","TOR",6,1,0,0,0,0
100104,2011,52,0,807,2,1,1,"Male",74,2,3,"Married",18885,21028,1,0,17,3,4,0,31,2,3,11,3,5,4,0,NA,"","","BOS",6,1,0,0,0,0
100105,2011,51,1,406,2,0,1,"Male",56,1,4,"Married",18383,25735,1,1,15,4,4,0,30,2,3,10,5,2,3,1,2021,"unhappy","Voluntary","VAN",4,0,1,0,0,0
100106,2011,49,1,397,1,3,4,"Male",72,2,1,"Divorced",19101,19182,0,0,13,3,2,0,31,2,3,11,3,2,4,0,NA,"","","TOR",6,1,0,0,0,0
100107,2011,50,1,731,19,1,2,"Female",67,2,3,"Married",19520,22868,3,0,18,3,3,0,30,2,3,11,3,2,5,0,NA,"","","PHL",5,0,0,0,1,0
100108,2011,50,2,1234,20,2,2,"Male",41,3,3,"Married",11245,20689,2,1,15,3,3,1,32,3,3,11,3,5,5,0,NA,"","","CAL",4,0,1,0,0,0
100109,2011,51,1,729,19,3,2,"Male",66,2,3,"Married",19522,22875,2,0,18,3,3,0,31,2,3,11,3,2,5,0,NA,"","","MKM",6,1,0,0,0,0
100110,2011,47,1,928,7,1,2,"Male",77,1,3,"Married",14312,24499,5,1,11,3,3,0,26,3,1,9,3,5,4,1,2020,"unhappy","Voluntary","MKM",6,1,0,0,0,0
100111,2011,52,1,309,2,3,1,"Male",59,1,3,"Married",19846,25400,1,0,14,2,4,1,32,2,3,11,5,2,3,1,2022,"Misconduct","Involuntary","NYC",6,1,0,0,0,0
100112,2011,39,1,1058,7,0,1,"Male",47,2,3,"Divorced",15882,15723,2,1,11,3,3,0,20,0,2,7,4,5,3,1,2018,"retiring","Voluntary","CAL",4,0,0,1,0,0
100113,2011,54,1,273,2,2,2,"Male",47,1,3,"Married",19632,25815,3,0,13,2,4,0,35,2,3,11,5,3,3,1,2022,"Misconduct","Involuntary","BOS",6,1,0,0,0,0
100114,2011,49,1,1228,3,0,1,"Male",97,3,2,"Married",18201,8090,1,0,11,3,3,1,31,2,3,11,2,4,3,0,NA,"","","PHL",6,1,0,0,0,0
100115,2011,53,1,523,1,0,3,"Male",83,2,1,"Divorced",19150,18890,0,0,14,3,2,0,35,2,3,11,4,2,5,0,NA,"","","VAN",5,0,0,1,0,0
100116,2011,49,1,1240,2,1,1,"Male",98,2,2,"Married",18200,8007,1,0,11,3,3,0,31,2,3,11,2,4,3,0,NA,"","","OTT",5,0,0,1,0,0
100117,2011,50,1,1193,2,3,1,"Male",95,3,2,"Married",18146,7892,1,0,11,3,3,0,31,2,3,11,2,4,3,0,NA,"","","NYC",6,1,0,0,0,0
100118,2011,50,1,581,3,3,2,"Male",36,2,1,"Married",16817,9973,1,0,11,3,1,0,31,3,4,11,2,1,5,0,NA,"","","OTT",6,1,0,0,0,0
100119,2011,50,1,885,1,2,1,"Male",95,3,1,"Married",17895,4596,1,0,11,3,4,0,30,3,2,11,3,5,3,0,NA,"","","BOS",6,1,0,0,0,0
100120,2011,42,1,419,8,3,3,"Male",63,2,4,"Married",10321,4924,1,1,11,5,1,1,22,5,2,8,3,3,3,1,2019,"offered more money","Voluntary","CAL",3,1,0,0,0,0
100121,2011,52,1,294,6,1,4,"Male",82,3,1,"Divorced",19633,19127,2,0,21,3,1,0,32,4,2,11,4,4,4,0,NA,"","","NYC",6,1,0,0,0,0
100122,2012,52,1,541,10,3,3,"Male",65,2,3,"Married",10397,15273,1,0,15,4,2,1,29,3,3,9,2,1,3,1,2021,"career change","Voluntary","TOR",6,1,0,0,0,0
100123,2012,49,1,750,16,3,2,"Female",69,2,3,"Married",19494,22801,3,0,17,3,3,0,28,2,3,10,3,2,5,0,NA,"","","PHL",6,1,0,0,0,0
100124,2012,53,1,531,2,1,2,"Male",69,2,2,"Married",19853,23154,3,0,13,4,4,1,27,2,3,6,3,2,3,1,2018,"offered more money","Voluntary","MKM",5,0,0,0,1,0
100125,2012,59,1,406,7,3,1,"Male",45,3,1,"Divorced",19576,3865,5,0,11,3,3,0,33,4,1,10,3,4,4,0,NA,"","","VAN",6,1,0,0,0,0
100126,2012,42,1,753,9,3,2,"Male",58,2,1,"Single",15184,2459,0,1,13,5,1,0,23,2,2,8,4,4,5,1,2020,"medical issues","Voluntary","OTT",4,0,1,0,0,0
100127,2012,57,1,367,2,0,4,"Male",39,3,1,"Married",19359,24915,6,0,12,1,4,0,37,2,3,10,5,4,3,1,2022,"Misconduct","Involuntary","PHL",6,1,0,0,0,0
100128,2012,37,1,1063,5,0,3,"Male",51,1,3,"Married",11365,25184,3,0,11,5,3,0,18,2,1,6,3,4,3,1,2018,"retiring","Voluntary","TOR",3,0,0,0,0,0
100129,2012,48,1,254,7,0,4,"Male",77,2,2,"Divorced",19697,19279,3,1,21,3,1,1,28,4,2,10,4,3,4,0,NA,"","","TOR",5,0,0,0,1,0
100130,2012,49,1,1000,7,0,3,"Male",80,1,2,"Married",14670,23420,6,0,11,5,3,0,24,2,1,7,2,4,3,1,2019,"reallocation out of the area","Voluntary","TOR",4,0,1,0,0,0
100131,2012,46,1,1397,6,0,1,"Male",88,1,1,"Single",17281,3109,2,1,15,5,1,0,23,2,2,7,3,1,4,1,2019,"return to school","Voluntary","CAL",4,0,0,0,0,1
100132,2012,48,1,936,7,2,2,"Male",45,2,3,"Married",18701,16641,4,0,12,3,3,1,28,2,2,10,2,5,3,0,NA,"","","CAL",6,1,0,0,0,0
100133,2012,56,1,596,7,2,1,"Male",39,3,1,"Single",19464,3794,4,0,11,3,4,0,31,4,1,10,3,4,4,0,NA,"","","OTT",6,1,0,0,0,0
100134,2012,47,1,265,6,0,4,"Male",74,2,2,"Married",19606,19329,2,1,19,3,1,1,27,4,2,10,3,3,4,0,NA,"","","VAN",6,1,0,0,0,0
100135,2012,50,1,1099,29,3,2,"Male",88,2,3,"Married",17046,9314,0,0,15,3,2,1,28,2,3,10,4,6,3,0,NA,"","","NYC",6,1,0,0,0,0
100136,2012,47,1,149,11,2,3,"Male",55,2,1,"Single",13465,25357,0,0,13,3,2,0,27,3,3,10,3,5,2,0,NA,"","","PHL",6,1,0,0,0,0
100137,2012,56,1,518,2,1,4,"Male",55,3,1,"Married",19570,23344,5,0,12,5,4,0,31,2,3,6,3,3,2,1,2018,"offered more money","Voluntary","PHL",5,1,0,0,0,0
100138,2012,50,1,740,18,0,2,"Male",68,2,3,"Married",19508,22837,3,0,17,3,3,0,30,2,3,10,3,2,5,0,NA,"","","CAL",6,1,0,0,0,0
100139,2012,48,1,317,20,2,3,"Male",83,1,3,"Single",14325,24545,1,0,12,3,3,0,29,2,3,10,3,4,3,0,NA,"","","MKM",6,1,0,0,0,0
100140,2012,39,1,871,2,1,2,"Male",67,2,2,"Married",10388,4228,4,1,12,4,2,1,19,3,3,6,3,2,3,1,2018,"unhappy","Voluntary","TOR",3,0,0,0,0,1
100141,2012,46,1,1280,12,2,2,"Male",43,2,3,"Divorced",19264,2873,0,0,15,3,3,1,26,4,2,10,3,1,4,0,NA,"","","NYC",6,1,0,0,0,0
100142,2012,50,1,159,10,3,3,"Male",49,2,1,"Single",13503,25439,0,0,14,3,3,0,29,3,3,10,3,5,2,0,NA,"","","BOS",6,1,0,0,0,0
